2 5.75 4.87 5.20 5.0
5 4.70 4.28 5.11 4.98
10 4.11 4.30 4.90 4.98
20 4.13 4.16 4.91 4.71
50 4.09 4.32 5.14 4.8
100 4.15 4.31 5.05 4.79
