"Device" "WiGEM" "Probabilistic (27 Training Locations)" "Probabilistic (4 Training Locations)"
"Android(T)" 4 0.1 8
"Laptop" 4 4 10
"Netbook" 4 4 10
"iPhone" 3.5 3 10
